location,address,description,vendor,lat,lon,days_on_site,amenities,bathrooms,parking_lots,num_bedrooms,m2,final_price,price_square_meter,street,neighbourhood,postcode
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural, ENTREGA INMEDIATA.  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: Acondicionado doble alturaRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMETROS TOTALES: 163 m2Terraza 49 m2 PRECIO $10,200,00000",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,163,10200000,62576.68712,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural, ENTREGA INMEDIATA. Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: Acondicionado doble alturaRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMetros Totales 180 m2Terraza : 67 m2 Precio $ 11,050,000",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,180,11050000,61388.88889,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural, ENTREGA INMEDIATA. Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: Acondicionado doble alturaRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMETROS TOTALES: 157 m2Terraza : 46 m2 PRECIO $9,880,000.00",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,157,9880000,62929.93631,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural, Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: AcondicionadoRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMETROS TOTALES: 111 m2PRECIO $7,010,000.00Departamenteo actualmente rentado",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,111,7010000,63153.15315,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: AcondicionadoRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMETROS TOTALES: 112 m2PRECIO $6,790,000Departaento actualmente rentado",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,112,6790000,60625,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural, ENTREGA INMEDIATA.  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: Acondicionado doble alturaRECAMARAS: 2 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMETROS TOTALES: 149m2Jardín 38 M2PRECIO $9,670,000.00",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,149,9670000,64899.32886,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"En venta excelente departamento en proyecto ubicado en una de las zonas que se destacan por su rica herencia cultural Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: Recepción, Elevador, escaleras de servicio, Alberca, Yoga, Juegos Infantiles, Áreas verdes, Jardín de eventos, Casa Club, Gimnasio, Coffee Bar y Business CenterCARACTERÍSTICAS DEL DEPARTAMENTOESTADO: Acondicionado RECAMARAS: 3 CLOSETS: 2BAÑOS: 2ESTANCIA: SiCOMEDOR: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: 2 CajonesMETROS TOTALES: 114 m2PRECIO $ 7,332,973Departamento actualmente rentado",Incitybienesraices,19.4043698,-99.1636062,4,5,2,2,3,114,7332973,64324.32456,Calle Monclova,Colonia Roma Sur,6760
"Aguascalientes, Roma Sur, Cuauhtémoc, Distrito Federal",Aguascalientes,"Desarrollo ""Los Panchos"", listo para entrega en Marzo 2022, es un proyecto de intervención mayor en un edificio de los años 40s de la Col. Roma Sur, para crear 9 departamentos increíbles con un Roof Garden común. El edificio fue construido originalmente por uno de los integrantes del trío musical Los Panchos, y es de ahí que proviene la inspiración del desarrollo. Cada uno de los 9 departamentos, todos únicos, es inspirado por alguna de las nueve interpretaciones más representativas del Tri, dando paso a su programa, estilo e incluso, a su timbre, que suena al ritmo de la canción que da nombre a cada uno de los departamentos.SOLO 3 UNIDADES DISPONIBLES, excelente oportunidad de inversión y/o para rentas vacacionales. Departamento ""Sabor A Mi:""- Ubicación en planta baja- 2 recámaras- 2 baño completos- Estudio- Patio- Cava/Salon de juegos en sotano- Estancia sala comedor- Cocina integral con desayunador para 4 lugares- Balcón- Departamento 141.05 m2 y patio 4.67 m2- Amenidades: Seguridad 24/7, Roof Garden común y laundry room.",Habitare Luxury Living,19.4090847,-99.1643185,3,4,2,1,2,145,9859115,67993.89655,Calle Aguascalientes,Centro Urbano Benito Juárez,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Preventa excelentes departamentos en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural,  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: edificio mixto con una planta comercial y 11 niveles dedepartamentos Recepción, Elevador, escaleras de servicio, Business center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzasHuerto auto sustentable, Área de meditación, Espacio para yoga yEspacio para lecturaDepartamentos inteligentes con sistemaLUTRON en iluminación y audio. CARACTERÍSTICAS DEL DEPARTAMENTOESTADO: con acabados, departamentos inteligentes TERRAZA: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: SiMETROS TOTALES: 41 m2Precio : $ 3,382,500Entrega Otoño 2023",Incitybienesraices,19.4043698,-99.1636062,4,2,1,1,1,41,3382500,82500,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Preventes departamentos en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural,  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: edificio mixto con una planta comercial y 11 niveles dedepartamentos Recepción, Elevador, escaleras de servicio, Business center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzasHuerto auto sustentable, Área de meditación, Espacio para yoga yEspacio para lecturaDepartamentos inteligentes con sistemaLUTRON en iluminación y audio. CARACTERÍSTICAS DEL DEPARTAMENTOESTADO: con acabados, departamentos inteligentes TERRAZA: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: SiMETROS TOTALES: 54 m2Precio : $ 4,515,000Entrega Otoño 2023",Incitybienesraices,19.4043698,-99.1636062,4,2,1,1,1,54,4515000,83611.11111,Calle Monclova,Colonia Roma Sur,6760
"Roma Norte, Cuauhtémoc, Distrito Federal",,"Preventa excelentes departamentos en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural,  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: edificio mixto con una planta comercial y 11 niveles dedepartamentos Recepción, Elevador, escaleras de servicio, Business center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzasHuerto auto sustentable, Área de meditación, Espacio para yoga yEspacio para lecturaDepartamentos inteligentes con sistemaLUTRON en iluminación y audio. CARACTERÍSTICAS DEL DEPARTAMENTOESTADO: con acabados, departamentos inteligentes TERRAZA: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: SiMETROS TOTALES: 56m2Precio : $ 4,496,000Entrega Otoño 2023",Incitybienesraices,19.4195256,-99.162549,4,2,1,1,1,56,4496000,80285.71429,Calle Colima,Colonia Roma Norte,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Preventa excelentes departamentos en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural,  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: edificio mixto con una planta comercial y 11 niveles dedepartamentos Recepción, Elevador, escaleras de servicio, Business center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzasHuerto auto sustentable, Área de meditación, Espacio para yoga yEspacio para lecturaDepartamentos inteligentes con sistemaLUTRON en iluminación y audio. CARACTERÍSTICAS DEL DEPARTAMENTOESTADO: con acabados, departamentos inteligentes TERRAZA: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: SiMETROS TOTALES: 63 m2Precio : $ 5,257,500Entrega Otoño 2023",Incitybienesraices,19.4043698,-99.1636062,4,2,1,1,1,63,5257500,83452.38095,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Preventa excelentes departamentos en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural,  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: edificio mixto con una planta comercial y 11 niveles dedepartamentos Recepción, Elevador, escaleras de servicio, Business center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzasHuerto auto sustentable, Área de meditación, Espacio para yoga yEspacio para lecturaDepartamentos inteligentes con sistemaLUTRON en iluminación y audio. CARACTERÍSTICAS DEL DEPARTAMENTOESTADO: con acabados, departamentos inteligentes TERRAZA: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: SiMETROS TOTALES: 49 m2Precio : $ 4,102,500Entrega Otoño 2023",Incitybienesraices,19.4043698,-99.1636062,4,2,1,1,1,49,4102500,83724.4898,Calle Monclova,Colonia Roma Sur,6760
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Preventa excelentes departamentos en proyecto ubicadoen una de las zonas que se destacan por su rica herencia cultural,  Amplios accesos que facilitan la movilidad hacia zonas de trabajo así como oferta cercana de transporte público, zona tranquila y segura. Facilidad para estacionarse. Rodeado de restaurantes, bancos, centros comerciales, gimnasios, escuelas y parques.CARACTERÍSTICAS DEL RESIDENCIAL-SEGURIDAD: Seguridad privada, control de accesos 24/7, CCTV.ESPACIOS: edificio mixto con una planta comercial y 11 niveles dedepartamentos Recepción, Elevador, escaleras de servicio, Business center, Roof Garden, Sky pool, Jacuzzi, Teppanyaki, Horno para pizzasHuerto auto sustentable, Área de meditación, Espacio para yoga yEspacio para lecturaDepartamentos inteligentes con sistemaLUTRON en iluminación y audio. CARACTERÍSTICAS DEL DEPARTAMENTOESTADO: con acabados, departamentos inteligentes TERRAZA: SiCOCINA: EquipadaAREA DE LAVADO: SiESTACIONAMIENTO: SiMETROS TOTALES: 38 m2Precio : $ 3,195,000Entrega Otoño 2023",Incitybienesraices,19.4043698,-99.1636062,4,2,1,1,1,38,3195000,84078.94737,Calle Monclova,Colonia Roma Sur,6760
